Classifier,Precision,Sensitivity,Specificity,F1-Score,Accuracy,Precision,Sensitivity,Specificity,F1-Score,Accuracy,Precision,Sensitivity,Specificity,F1-Score,Accuracy
logistic_regression,0.83,0.72,0.45,0.71,0.75,0.76,0.74,0.63,0.75,0.76,0.39,0.47,0.91,0.25,0.3
random_forest,0.96,0.95,0.91,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.48,0.5,0.95,0.26,0.31
SGDClassifier,0.73,0.5,1.0,0.31,0.45,0.23,0.5,1.0,0.31,0.45,0.15,0.5,1.0,0.23,0.3
Perceptron,0.73,0.5,1.0,0.31,0.45,0.41,0.5,0.98,0.32,0.45,0.15,0.5,1.0,0.23,0.3
Dummy,0.27,0.5,0.0,0.35,0.55,0.27,0.5,0.0,0.35,0.55,0.35,0.5,0.0,0.41,0.7
logistic_regression,0.72,0.63,0.97,0.56,0.59,0.81,0.81,0.86,0.81,0.81,0.38,0.38,0.56,0.31,0.31
random_forest,0.58,0.57,0.7,0.56,0.56,0.86,0.86,0.89,0.86,0.86,0.47,0.5,0.99,0.23,0.3
SGDClassifier,0.63,0.58,0.89,0.52,0.55,0.78,0.78,0.82,0.78,0.78,0.4,0.48,0.94,0.25,0.3
Perceptron,0.64,0.59,0.9,0.53,0.56,0.8,0.8,0.89,0.79,0.79,0.15,0.5,1.0,0.23,0.3
Dummy,0.27,0.5,0.0,0.35,0.55,0.27,0.5,0.0,0.35,0.55,0.35,0.5,0.0,0.41,0.7
logistic_regression,0.84,0.72,0.45,0.72,0.75,0.79,0.78,0.71,0.79,0.79,0.51,0.5,1.0,0.23,0.3
random_forest,0.81,0.63,0.26,0.59,0.66,0.88,0.87,0.79,0.87,0.88,0.42,0.45,0.74,0.32,0.33
SGDClassifier,0.8,0.8,0.88,0.8,0.8,0.72,0.71,0.84,0.7,0.7,0.38,0.39,0.58,0.31,0.31
Perceptron,0.38,0.48,0.95,0.32,0.44,0.56,0.52,0.94,0.39,0.47,0.45,0.5,1.0,0.23,0.3
Dummy,0.27,0.5,0.0,0.35,0.55,0.27,0.5,0.0,0.35,0.55,0.35,0.5,0.0,0.41,0.7
logistic_regression,0.63,0.62,0.46,0.61,0.63,0.81,0.81,0.76,0.81,0.81,0.15,0.5,1.0,0.23,0.3
random_forest,0.8,0.79,0.93,0.77,0.77,0.9,0.9,0.93,0.9,0.9,0.4,0.46,0.84,0.27,0.3
SGDClassifier,0.7,0.67,0.49,0.67,0.69,0.82,0.81,0.78,0.81,0.82,0.37,0.37,0.5,0.31,0.31
Perceptron,0.55,0.55,0.57,0.55,0.55,0.7,0.68,0.88,0.65,0.66,0.15,0.5,1.0,0.23,0.3
Dummy,0.27,0.5,0.0,0.35,0.55,0.27,0.5,0.0,0.35,0.55,0.35,0.5,0.0,0.41,0.7
